system,threat_title
oauth2.0,Obtaining Client Secrets
oauth2.0,Obtaining Refresh Tokens
oauth2.0,Obtaining Access Tokens
oauth2.0,End-User Credentials Phished Using Compromised or Embedded Browser
oauth2.0,Open Redirectors on Client
oauth2.0,Password Phishing by Counterfeit Authorization Server
oauth2.0,User Unintentionally Grants Too Much Access Scope
oauth2.0,Malicious Client Obtains Existing Authorization by Fraud
oauth2.0,Open Redirector
oauth2.0,Eavesdropping Access Tokens
oauth2.0,Obtaining Access Tokens from Authorization Server Database
oauth2.0,Disclosure of Client Credentials during Transmission
oauth2.0,Obtaining Client Secret from Authorization Server Database
oauth2.0,Obtaining Client Secret by Online Guessing
oauth2.0,"Eavesdropping or Leaking Authorization ""codes"""
oauth2.0,"Obtaining Authorization ""codes"" from Authorization Server Database"
oauth2.0,"Online Guessing of Authorization ""codes"""
oauth2.0,Malicious Client Obtains Authorization
oauth2.0,"Authorization ""code"" Phishing"
oauth2.0,User Session Impersonation
oauth2.0,"Authorization ""code"" Leakage through Counterfeit Client"
oauth2.0,CSRF Attack against redirect-uri
oauth2.0,Clickjacking Attack against Authorization
oauth2.0,Resource Owner Impersonation
oauth2.0,DoS Attacks That Exhaust Resources
oauth2.0,"DoS Using Manufactured Authorization ""codes"""
oauth2.0,Code Substitution (OAuth Login)
oauth2.0,Access Token Leak in Transport/Endpoints
oauth2.0,Access Token Leak in Browser History
oauth2.0,Manipulation of Scripts
oauth2.0,CSRF Attack against redirect-uri
oauth2.0,Token Substitution (OAuth Login)
oauth2.0,Accidental Exposure of Passwords at Client Site
oauth2.0,Client Obtains Scopes without End-User Authorization
oauth2.0,Client Obtains Refresh Token through Automatic Authorization
oauth2.0,Obtaining User Passwords on Transport
oauth2.0,Obtaining User Passwords from Authorization Server
oauth2.0,Eavesdropping Refresh Tokens from Authorization Server
oauth2.0,Obtaining Refresh Token from Authorization Server
oauth2.0,Obtaining Refresh Token by Online Guessing
oauth2.0,Refresh Token Phishing by Counterfeit Authorization Server
oauth2.0,Eavesdropping Access Tokens on Transport
oauth2.0,Replay of Authorized Resource Server Requests
oauth2.0,Guessing Access Tokens
oauth2.0,Access Token Phishing by Counterfeit Resource Server
oauth2.0,Abuse of Token by Legitimate Resource Server or Client
oauth2.0,Leak of Confidential Data in HTTP Proxies
oauth2.0,Token Leakage via Log Files and HTTP Referrers
s3,IAM credentials can be compromised (directly or using pre-signed URL). An attacker can use a compromised but authorized IAM credential to download your object from an internal bucket via the public endpoint (using or not their own VPC endpoint).
s3,S3 buckets are commonly used to distribute software. An attacker can upload malware in a bucket to better position it for later use or directly change an object to include malware
s3,"S3 Object Ownership enables a bucket receiver to convert a bucket-owner-full-control ACL into an ownership transfer (for a new object); additionally, a bucket can convert all the objects to be owned by the bucket owner. An attacker can modify the receiver bucket to remove your object ACL control on an object and remove your access to this object."
s3,"Bucket policy can enable access to objects owned by the bucket. An attacker (or someone by negligence) can change the bucket policy and make the content accessible (via public endpoints, cross-account VPC endpoints, or cross-account access point)."
s3,Access point policy can enable access to objects owned by the bucket. An attacker (or someone by negligence) can change the access point policy and make the content accessible.
s3,Multi-Region Access Point policy can enable access to objects owned by the bucket. An attacker (or someone by negligence) can change the Multi-Region Access Point policy and make the content accessible.
s3,S3 provides several types of encryption where the key is not operated by AWS (e.g. SSE-KMS with Bring Your Own Key). An attacker can encrypt all the data stored in S3 to ransom the data owner to get the decryption key.
s3,Exfiltrate data by uploading it to an attacker bucket using a non-authenticated user or an unauthorized external IAM entity via one of your S3 VPC endpoints
s3,"S3 Batch Operations require an IAM role (with proper trust policy), then can run operations including replicating existing objects, copying, or replacing/deleting object tags. An attacker can use Batch copy or modify objects to exfiltrate or change the access management of an object (if relying on a tag)."
s3,Object made public or accessible in a private bucket you own by changing object ACL
s3,"Number of AWS services are using S3 for storage, including storing in cross-account S3 buckets. Services with IAM roles (e.g. SageMaker) will give ownership to the target AWS account, removing ownership protection. An attacker can use those services to exfiltrate data."
s3,IAM credentials can be compromised. An attacker can use a compromised but authorized credential to download your object from an external bucket via the public endpoint or their VPC endpoint.
s3,S3 buckets can be public for a legitimate reason. An attacker (or someone by negligence) can upload sensitive data in an accessible bucket (e.g. public) you do not own to make it accessible to exfiltrate data.
s3,"VPC endpoints for S3 allow IAM entities to connect from a VPC to any S3 bucket without an Internet Gateway. An attacker can exfiltrate pre-collected data to an external S3 bucket via a VPC endpoint, using an internal IAM entity they control. If the attacker does not control object ACL, they can use the name of objects (1KB)."
s3,S3 website enables users to be served client-side scripts (e.g. JavaScript). An attacker can upload a client-side script with malware (e.g. cryptomining) to the visitor.
s3,CloudFront distributions can use S3 buckets or access points as their origin. An attacker can connect a CloudFront distribution to a private S3 bucket to get access to it. Note: S3 resource policies can allow a cloudfront.amazonaws.com principal which could allow any distributions if not restricted.
s3,Lifecycle allows you to delete objects after its configured expiry. An attacker can use a lifecycle configuration to destroy data.
s3,"Bucket names are globally unique and can be recreated after 1 hour from deletion in another AWS account. An attacker can recreate the same bucket name of a deleted bucket you used to own to collect any new data uploaded by a non-updated party, do a DNS takeover (using a non-deleted CNAME / CloudFront origin to the bucket), or use remaining permissions to exfiltrate data."
s3,Bucket Public Access Block protects individual buckets from leakage (e.g. object ACL set to public). An attacker can remove this protection by modifying the bucket Public Access Block.
s3,Account Public Access Block protects all buckets of an AWS account from leakage (e.g. object ACL set to public). An attacker can remove this protection by modifying the account's Public Access Block.
s3,"S3 allows communication over HTTP. An attacker can intercept the traffic you send to an external bucket, in order to read or modify the data."
s3,"Access points can be deleted and recreated with the same name, and therefore the same ARN. An attacker can delete an access point and recreate the same, on a bucket they control to collect/modify data; or make it accessible over the Internet."
s3,"S3 allows communication over HTTP. An attacker can intercept the traffic you send on an internal bucket, in order to read or modify the data."
s3,"Replication allows you to replicate objects and their metadata and change ownership. The configuration only focuses on new objects (old objects replication requires S3 Batch Replication). An attacker can configure replication on a bucket to replicate objects (or its metadata or tagging) in a bucket they control to exfiltrate data. As objects encrypted via SSE-C are also replicated without additional configuration or access requirements, an attacker can then decrypt it in their own bucket if they have the SSE-C key."
s3,Access points from a given AWS account can be connected to a cross-account bucket. An attacker can create an access point connected to a bucket they control to exfiltrate data.
s3,Multiple types of environments are usually operated in AWS. An attacker can move the data from a secure location (e.g. production) to a less secure location (e.g. dev).
s3,"Number of AWS services can access S3 to execute their functions. An attacker can use them to collect data, using their service role or service-linked roles."
s3,S3 does not enforce certain security headers by default. An attacker can use an iFrame on your website to trick users to interact with their own scripts.
s3,Bucket names are globally unique. An attacker can take over a legitimate external bucket and deceive you into sending data to their bucket.
s3,Objects and buckets can have tags. An attacker can use those features to exfiltrate data.
s3,"S3 provides URLs to buckets using the bucket name (i.e. ""mybucket.s3.amazonaws.com""). An attacker can create a bucket with the name of your trademark to phish users."
s3,"AWS managed policies can be attached to your IAM entities, but their permissions are managed by AWS. An attacker (including AWS insider via a <a target3D""_blank"" href3D""https://aws.amazon.com/security/security-bulletins/AWS-2021-007/"">service-linked role) can use an over-privileged managed permission to execute an attack."
s3,Restore cost can be amplified by the size and the type (i.e. expedited). An attacker can restore lots of data to generate costs.
s3,Versioning can be used as the first level of integrity protection. An attacker can suspend versioning to affect the data protection of a bucket.
s3,Replication can be used as a level of integrity protection and backup. An attacker can remove replication to affect the data protection.
s3,S3 access logs can be used by SIEM to detect abnormal behaviors. An attacker can disable S3 access logs via bucket ACL changes on the logging destination bucket to evade detection.
s3,S3 access logs can be used by SIEM to detect abnormal behaviors. An attacker can disable S3 access logs via bucket policy changes on the logging destination bucket to evade detection.
s3,S3 access logs can be used by SIEM to detect abnormal behaviors. An attacker can modify or disable S3 access logs to evade detection.
s3,"Event notification sends the key to any configured SQS, SNS or Lambda (cross-account), or EventBridge (same account). An attacker can use the name of objects (1KB) to exfiltrate data."
s3,Inventory sends the object names (i.e. keys) to any configured S3 bucket. An attacker can use the name of objects (1KB) to exfiltrate data.div>
s3,S3 allows you to add root account emails in ACL 
s3,AWS provides error messages in the S3 bucket policy that can be used for basic recon. An attacker can discover whether an AWS account with a specific AWS account ID or AWS IAM principal exists by modifying the S3 policy to grant some rights to the said AWS account/IAM principal.
s3,"S3 was launched in 2006, and its features have evolved. An attacker can use older features that have been proven less secure by AWS (e.g. certain API configuration,"
s3,S3 VPC endpoints can be either Interface or Gateway. An attacker can create a second endpoint to create an ungoverned exfiltration vector.
s3,S3 charges for hosting and data transfer out. An attacker can hotlink your content hosted on S3 on another page to avoid paying the S3 bills
s3,Etags include the MD5 of the file but not consistently and can be used by developers to verify the integrity of a file. An attacker can affect an upload function to change the etag of a file to disrupt a workflow downstream.
gcs,Theft of Google Cloud Platform login credentials or access tokens
gcs,Guessing of Google Cloud Platform credentials
gcs,Unauthenticated access to Google Cloud Storage bucket
gcs,Authenticated access to Google Cloud Storage bucket
gcs,Deletion or Modification of data stored in Google Cloud Storage bucket
gcs,Writing malicious content to the Google Cloud Storage bucket
gcs,Exfiltration of data stored in Google Cloud Storage bucket
gcs,Exploitable vulnerability in external service
gcs,Exploitable vulnerability in the application code running on Google Cloud Platform services
gcs,Exploitable vulnerability in Google Cloud Platform services
gcs,Logs do not contain sufficient data
gcs,Deletion of Logs
gcs,Access to log data in Google Cloud Platform
gcs,Google Cloud Storage bucket become unavailable
gcs,Google personnel accessing Cloud Storage bucket
IoT_Auth,"The web application may be spoofed by an attacker and this may lead to unauthorized access to the browser client. (When discussed with the design team, it appears that this is not possible, as a security mechanism to identify the server is present.)"
IoT_Auth,SQL injection is an attack in which malicious code is inserted into strings that are later passed to an instance of SQL Server for parsing and execution.
IoT_Auth,"The SQL Database claims that it didnot write data received from an entity on the other side of the trust boundary. Consider using logging or auditing to record the source, time and a summary of the received data."
IoT_Auth,"Data flowing across saved feedback comments may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow."
IoT_Auth,"The browser client crashes, halts, stops orruns slowly; in all cases violating an availability metric"
IoT_Auth,The browser client may be able to impersonate the context of the web application in order to gain additional privilege.
IoT_Auth,"The SQL Database may be spoofed by an attacker, and this may lead to data being written to the attacker's target instead of the SQL Database. (When discussed with the design team, it appears that this is not possible, as SQL connection is made using the database username and password.) LDAP injection is possible, as the user authentication is verified using an LDAP query. The web application claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time and a summary of the received data. Improper data protection of LDAP can allow an attacker to read information not intended for disclosure. Review authorization settings. An external agent prevents access to a data store on the other side of the trust boundary An attacker may pass data into the browser client in order to change the flow of program execution within the browser client to the attacker's choosing.  Data flowing across saved feedback comments may be tampered with by an attacker. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved-list input validation approach.  LDAP claims that it did not write data received from an entity on the other side of the trust boundary. Consider using logging or auditing to record the source, time and a summary of the received data. LDAP claims that it did not write data received from an entity on the other side of the trust boundary. Consider using logging or auditing to record the source, time and a summary of the received data."
IoT_Auth,"LDAP injection is possible, as the user authentication is verified using an LDAP query."
IoT_Auth,"The web application claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time and a summary of the received data."
IoT_Auth,"The web application claims that it did not receive data from a process on the other side of the trust boundary. Consider using logging or auditing to record the source, time and a summary of the received data."
IoT_Auth,An external agent prevents access to a data store on the other side of the trust boundary.
IoT_Auth,An attacker may pass data into the browser client in order to change the flow of program execution within the browser client to the attacker's choosing.
IoT_Auth,Data flowing across saved feedback comments may be tampered with by an attacker. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved-list input validation approach.
IoT_Auth,"LDAP claims that it did not write data received from an entity on the other side of the trust boundary. Consider using logging or auditing to record the source, time and a summary of the received data."
ssl,Trust path validation bugs
ssl,NULL-byte certificates
ssl,Leaked CA Certificates
ssl,Rogue CA Certificates
ssl,Rogue Sysadmin
ssl,Server Compromise
ssl,Backup Compromise
ssl,Attacks against sysadmins
ssl,Social engineering
ssl,Validation software subversion
ssl,Forgery
ssl,Bribery
ssl,Failure to enforce SSL
ssl,Expired certificate
ssl,Incorrectly configured chain
ssl,Invalid hostname
ssl,Not valid for all required hostnames
ssl,Insufficient assurance (*)
ssl,Self-signed certificates
ssl,Unprotected Private Key
ssl,Private Key Duplication (*)
ssl,Private key reuse
ssl,Lack of trust validation
ssl,Validation against other root certs
ssl,Lack of revocation checking
ssl,Use of weak protocols
ssl,Weak key exchange (*)
ssl,Weak ciphers (*)
ssl,Non-FIPS approved ciphers (*)
ssl,Anonymous key exchange
ssl,Use of unpatched SSL libraries
ssl,Mixed SSL/Non-SSL Areas
ssl,Insecure cookies
ssl,User Interface (Usability)
ssl,Client Configuration
ssl,Secure implementation
ssl,Lack of revocation checking
ssl,No IP layer protection
ssl,Not end-to-end
ssl,No certificate information protection
ssl,Hostname leakage (via SNI)
ssl,Downgrade attack (SSLv2)
ssl,Truncation attack (SSLv2)
ssl,Bleichenbacher adaptive chosen-ciphertext attack
ssl,Klima-Pokorny-Rosa adaptive chosen-ciphertext attack
ssl,Implementation bugs
ssl,Usability issues
ssl,Prevalence of self-signed certificates
ssl,Internationalised domain names
ssl,Similar domain names
ssl,DNS Cache Poisoning
ssl,MITM LAN
ssl,MITM Wireless
ssl,Route hijacking (BGP)
ssl,Phishing
ssl,Corporate interception
ssl,XSS (Cross-Site Scripting)
PCI DSS,Interrupt: Firewall rulesets go out of date
PCI DSS,Timer: Old data not deleted/not deleted securely
PCI DSS,Timer: Malware might be published for new systems
PCI DSS,Timer: Anti-malware sw goes out of date
PCI DSS,Approval: Firewall config fails to prevent
PCI DSS,Approval: Anti-virus fails to protect
PCI DSS,Tracking & documentation: Approval process failures (network connections)
PCI DSS,Tracking & documentation: Approval process failures (firewall)
PCI DSS,Tracking & documentation: No network diagram
PCI DSS,Tracking & documentation: Network diagram is not current
PCI DSS,Tracking & documentation: Change not well managed
PCI DSS,Tracking & documentation: Changes not tracked
PCI DSS,Tracking & documentation: Firewall arbitrary changes
PCI DSS,Tracking & documentation: Systems dropped from management scope
PCI DSS,Tracking & documentation: Policy/activity drift
PCI DSS,Tracking & documentation: People with crypto keys might not understand their roles
PCI DSS,Tracking & documentation: Policies and procedures ignored
PCI DSS,Deployment: Unmanaged change
PCI DSS,Deployment: Default passwords
PCI DSS,Deployment: Default wireless configs
PCI DSS,Deployment: Malware might be on systems
PCI DSS,Configuration: Configuration errors lead to insecurity
PCI DSS,Configuration: Unneeded services lead to insecurity
PCI DSS,Configuration: Keys overly exposed
PCI DSS,Standards & Policies: Products ship insecure by default
PCI DSS,Standards & Policies: Insecurity leads to horizontal movement
PCI DSS,Standards & Policies: Unneeded services lead to insecurity
PCI DSS,Standards & Policies: Unencrypted comms lead to network problems
PCI DSS,Standards & Policies: Insecurity leads to horizontal movement at hosting provider
PCI DSS,Standards & Policies: Data is kept too long
PCI DSS,Standards & Policies: Crypto keys are bad
PCI DSS,Standards & Policies: Crypto keys are disclosed after generation
PCI DSS,Standards & Policies: Crypto keys are used after disclosure
PCI DSS,Standards & Policies: Compromised keys can’t be replaced
PCI DSS,"Standards & Policies: People might see the crypto keys, remember them, and abuse them"
PCI DSS,Standards & Policies: Crypto keys might be substituted by attackers
PCI DSS,Standards & Policies: PANs might be sent via unencrypted channels
PCI DSS,"Standards & Policies: People might not realize that PANs are sensitive, and send them without encryption"
PCI DSS,Standards & Policies: People might not realize malware is a threat
PCI DSS,Wireless network & data flows: Eavesdropping
PCI DSS,Processing: Full PAN displayed
PCI DSS,Storage: Authentication data stored
PCI DSS,Storage: Full track data stored
PCI DSS,Storage: Card verification code/values stored
PCI DSS,Storage: PIN block/encrypted PIN block stored
PCI DSS,Storage: PAN disclosed
PCI DSS,Storage: Account access allows file access
PCI DSS,Storage: Crypto keys stored securely
PCI DSS,Processing to DMZ : Eavesdropping
PCI DSS,DMZ to Acquirer: Eavesdropping
PCI DSS,Enterprise network: Eavesdropping
PCI DSS,Employee/Mobile systems: Users change their devices
PCI DSS,Employee/Mobile systems: Software is not running
PCI DSS,Mgmt console to CDE: Info disclosure
PCI DSS,Mgmt console to CDE: Keys disclosed after generation
PCI DSS,Logs: PAN stored in logs
CT,Errors or social engineering leading to unintended issuance.
CT,"Technical attacks (e.g., CA compromise)."
CT,Intentional issuance of bogus certificates.
CT,Collusion with logs to hide mis-issuance.
CT,Delayed or refused revocation of bogus certificates.
CT,Malicious CAs issuing syntactically incorrect certificates intentionally.
CT,Suppressing log entries for bogus certificates.
CT,Providing inconsistent views (split-view attacks).
CT,Generating fake log entries to mislead monitors.
CT,Issuing SCTs without logging certificates.
CT,Selectively hiding entries from monitors.
CT,Failing to report bogus certificates.
CT,Issuing false warnings to disrupt legitimate certificates.
CT,Subjects unaware of new logs or unable to track all logs.
CT,A malicious CA obtains multiple CA certificates from different parents.
CT,Submits one chain to logs for SCTs but presents a different chain to targeted browsers.
CT,Evades revocation by hiding one chain from detection.
CT,"Providing false ""good"" OCSP responses to targeted browsers."
CT,Manipulating CRL distribution points to hide revocation.
CT,Controlling AIA extensions to direct browsers to attacker-controlled OCSP servers.
CT,Issues bogus certificates without detection.
CT,Delays revocation or provides inconsistent revocation status.
CT,Issues SCTs without logging certificates.
CT,Presents split views to hide misbehavior.
CT,Browsers checking logs directly may expose visited websites to logs.
CT,Monitors or logs leaking sensitive certificate information.
CT,Browsers not enforcing SCT checks.
CT,Lack of standardized mechanisms for gossiping or log auditing.
CT,Difficulty in revoking certificates issued by malicious CAs without collateral damage.
CT,No standard way for monitors to communicate mis-issuance to browsers.
K8S,Exploit Public-Facing Application
K8S,External Remote Services
K8S,Valid Accounts
K8S,Container Administration Command
K8S,Deploy Container
K8S,Scheduled Task/Job
K8S,User Execution
K8S,External Remote Services
K8S,Implant Internal Image
K8S,Scheduled Task/Job
K8S,Valid Accounts
K8S,Escape to Host
K8S,Exploitation for Privilege Escalation
K8S,Scheduled Task/Job
K8S,Valid Accounts
K8S,Build Image on Host
K8S,Deploy Container
K8S,Impair Defenses
K8S,Indicator Removal
K8S,Masquerading
K8S,Use Alternate Authentication Material
K8S,Valid Accounts
K8S,Brute Force
K8S,Steal Application Access Token
K8S,Unsecured Credentials
K8S,Container and Resource Discovery
K8S,Network Service Discovery
K8S,Permission Groups Discovery
K8S,Use Alternate Authentication Material
K8S,Endpoint Denial of Service
K8S,Network Denial of Service
K8S,Resource Hijacking
